created_at,likes,retweets,text
2019-02-04 09:32:43,11865.0,2242.0,"Today, on #WorldCancerDay we reiterate our commitment towards ensuring early detection and affordable treatment of… https://t.co/vaUfxBQrJD"
2019-02-04 09:24:58,17407.0,2956.0,"Congratulated @DrKrishanMiddha Ji for the remarkable win in Jind. 

Over the years, the people of Haryana have been… https://t.co/HsS3BaMjbE"
2019-02-04 09:23:29,25699.0,4914.0,"I salute all those who are valiantly fighting cancer. Millions are inspired by their remarkable zeal.

I also appre… https://t.co/SWpWjuoYJH"
2019-02-03 16:37:58,27867.0,4585.0,"The iconic Dal Lake is mesmerising! 

Had the opportunity to visit the lake during my visit to Srinagar. https://t.co/3H5CDPsbXq"
2019-02-03 16:36:29,10653.0,2358.0,"Had the wonderful opportunity of interacting with Sarpanchs from across Jammu and Kashmir. 

I admire these remarka… https://t.co/CfssI1Eeka"
2019-02-03 16:33:10,11534.0,2924.0,"The NDA Government has made sincere efforts to enhance the prosperity of farmers.

All the Congress could do for ye… https://t.co/gAwVuzO3ND"
2019-02-03 16:31:47,8023.0,1956.0,People from all walks of life came to bless the BJP during the rally in Jammu. Here are some glimpses. @BJP4JnK https://t.co/pRoHzpLI6i
2019-02-03 16:28:34,10574.0,2446.0,"Youth of Jammu and Kashmir want peace and development. 

The ethos of this land is all about harmony and brotherhoo… https://t.co/KfIrnMYqEC"
2019-02-03 16:28:00,9304.0,2034.0,"The Central Government attaches immense priority towards energy, education, healthcare and infrastructure related w… https://t.co/hqa02OEQE6"
2019-02-03 16:27:31,9680.0,2218.0,"The last few months have witnessed an increase in the pace of development in Jammu and Kashmir. 

Projects that wer… https://t.co/kmVoeVLj4y"
2019-02-03 16:26:42,6759.0,1623.0,"In Leh, talked at length about an important decision of the Government that will have a positive impact on the live… https://t.co/K2pCjZDnl3"
2019-02-03 16:25:35,20337.0,3921.0,"The beauty of Leh, Ladakh draws people from all over the world. 

Today, I had the opportunity to visit this vibran… https://t.co/kU17KlrISv"
2019-02-03 10:59:12,12412.0,2903.0,Interacting with students from across the country from Srinagar. Join us! https://t.co/kKIg8du0Zh
2019-02-03 07:46:03,12863.0,3038.0,BJP and Jammu have a strong bond. Addressing a rally. Watch. https://t.co/rdtSKyJKs3
2019-02-03 06:10:50,0.0,3369.0,"RT @BJP4India: Every section of society has been empowered, every aspect of the nation has been strengthened by the Modi government over th…"
2019-02-03 05:45:04,18995.0,4238.0,Participative democracy is an article of faith for our party. We have always worked to be an effective voice for ri… https://t.co/ZTAw1Y3Rt2
2019-02-03 05:44:16,20990.0,5314.0,"Your voice is of utmost importance. 

Urging you all to take part in 'Bharat ke Mann ki Baat, Modi ke Saath’, a uni… https://t.co/iVLWtgcFiA"
2019-02-03 04:41:46,10604.0,2438.0,Delighted to be in Leh. Addressing a public meeting. https://t.co/s4BEV8naRA
2019-02-03 04:28:36,13487.0,2865.0,Deeply anguished by the loss of lives due to the derailment of coaches of the Seemanchal Express. My thoughts are w… https://t.co/AhEx23paBp
2019-02-02 15:27:46,35287.0,7774.0,"Even a large stadium was too small for the sisters and brothers who joined us in Durgapur.

Thank you, your blessin… https://t.co/pMdNzLFh2h"
2019-02-02 15:22:02,24503.0,6196.0,"My battle against corruption has ruffled many feathers, including TMC.

So, they all assembled in Kolkata and colle… https://t.co/kj73vmeJpc"
2019-02-02 15:20:31,13492.0,3939.0,"In West Bengal:

If one wants to study- Triple T.

If one wants a job- Triple T.

If one want to lead a life of pea… https://t.co/I3ZUVTW0US"
2019-02-02 15:19:02,8281.0,2470.0,"Her own party’s health is failing, support is dwindling so Didi decides to disassociate West Bengal from Ayushman B… https://t.co/vzIKagaOon"
2019-02-02 15:18:29,7649.0,1956.0,"Ours is a Government that cares for each and every Indian.

For decades, those associated with the unorganised sect… https://t.co/XIu939A1tN"
2019-02-02 13:31:45,11450.0,3052.0,"Through poorly conceived loan waiver schemes, parties that ruled India for decades kept farmers under poverty. Most… https://t.co/WDTE0XHV4l"
2019-02-02 13:30:55,6295.0,1713.0,"The #BudgetForNewIndia, which was presented yesterday has a clearly defined approach to enhance ‘Ease of Living’ fo… https://t.co/mGBLpMkLZH"
2019-02-02 13:30:22,7965.0,2147.0,Eastern India is at the core of our development agenda but projects in West Bengal either do not start on time or t… https://t.co/CSPi8aL36B
2019-02-02 13:29:52,13640.0,3557.0,The people of West Bengal are peace loving but the temperament of the Left and TMC is different. They thrive on vio… https://t.co/h7aoWRYWd1
2019-02-02 13:28:01,11161.0,3001.0,"I bow to the people of Thakurnagar. 

These pictures indicate the enthusiasm towards BJP. 

The people of West Beng… https://t.co/AGafOU8ooc"
2019-02-02 09:04:09,13465.0,3601.0,West Bengal and BJP have a strong bond! Speaking in Durgapur. Watch. https://t.co/Jk0tA96ZYp
2019-02-02 07:00:43,24015.0,6104.0,Amazing response at the rally in Thakurnagar. Watch. https://t.co/M0EdKZDD0B
2019-02-01 14:29:04,27931.0,5304.0,"At a programme in Durgapur, the rail electrification of Andal-Sainthia-Pakur-Malda and Khana-Sainthia Sections, and… https://t.co/gQVE5Bo56f"
2019-02-01 14:26:47,29214.0,5864.0,"Tomorrow, I look forward to being among my sisters and brothers of West Bengal. I will be addressing @BJP4Bengal ra… https://t.co/DuslHbV3go"
2019-02-01 09:55:06,27548.0,7445.0,This is a #BudgetForNewIndia and for all Indians. Watch my take. https://t.co/eAsPXMk1Dr
2019-01-31 15:54:05,22721.0,3718.0,"In his address to Parliament today, Rashtrapati Ji highlighted the transformative changes that have taken place and… https://t.co/rpU68HRLaL"
2019-01-31 11:15:16,40087.0,8090.0,I thank the people of Jind for blessing @BJP4Haryana. This is a seat where the Party has never won before. Glad to… https://t.co/NQHocQVsHN
2019-01-30 13:39:58,14030.0,3805.0,Euphoric New India Youth Conclave in Surat. Watch the interaction. https://t.co/m5PWVFLBVD
2019-01-30 12:47:31,7860.0,1740.0,I will be interacting with youth and professionals in a town-hall programme at the New India Youth Conclave in Sura… https://t.co/QwQyV1ppjw
2019-01-30 12:45:50,10625.0,2137.0,Venus Hospital will cater to Surat’s healthcare needs. I congratulate all those who worked towards the establishmen… https://t.co/vvgI23DRU3
2019-01-30 12:41:30,12925.0,2929.0,"The NDA Government has transformed the housing sector and the beneficiaries are the poor and middle class. 

Be it… https://t.co/3qAaL6TKDK"
2019-01-30 12:39:02,15071.0,3206.0,"More airports, bigger airports, better connectivity, affordable prices…know how the NDA Government is transforming… https://t.co/Xy7r3d4Gkk"
2019-01-30 12:37:14,6602.0,1653.0,"Surat personifies hardwork and enterprise. It is also a city that has always respected Bapu’s ideals. 

The foundat… https://t.co/duR0H9IFYa"
2019-01-30 12:34:48,8511.0,1563.0,Paid tributes to venerable Bapu at Rajghat. https://t.co/mlT7JcFiJf
2019-01-30 12:00:51,7632.0,1801.0,"In Dandi, a unique tribute to Bapu and brave Satyagrahis. https://t.co/1hP36UrSUO"
2019-01-30 09:46:06,9458.0,2086.0,Inaugurating the state-of-the-art Venus Hospital in Surat. Watch. https://t.co/9BsvuZVgkp
2019-01-30 08:28:43,17015.0,3398.0,"Surat Airport to be expanded, leading to enhanced connectivity and prosperity. Watch. https://t.co/DJBG7iRliu"
2019-01-30 02:53:39,13237.0,1828.0,Best wishes to my colleague Shri @PrakashJavdekar Ji on his birthday. Praying for his long and healthy life.
2019-01-30 02:50:48,18228.0,3140.0,We salute all the martyrs who laid down their lives for India. The country remains eternally grateful to them for t… https://t.co/acH5B9RSBl
2019-01-30 02:50:04,33106.0,4755.0,"पूज्य बापू को उनकी पुण्यतिथि पर शत् शत् नमन।

Remembering Bapu on his Punya Tithi. We reiterate our commitment to f… https://t.co/qdb5omgvex"
2019-01-29 15:09:41,13255.0,2717.0,"Tomorrow, on Bapu’s Punya Tithi, I will be in Dandi, the place from where Bapu challenged the might of colonialism.… https://t.co/TT3Qr36exl"
2019-01-29 15:06:24,18601.0,3183.0,"Tomorrow evening in Surat, I will join the New India Youth Conclave. This is a wonderful forum, bringing together y… https://t.co/t8oQmCe9gj"
2019-01-29 15:05:34,9133.0,1847.0,"In Surat, the Smt. Rasilaben Sevantilal Shah Venus Hospital will be inaugurated. This hospital will provide quality… https://t.co/GxCq5p0jmX"
2019-01-29 15:04:29,8855.0,2015.0,"I will be visiting Gujarat tomorrow to attend a wide range of programmes. 

In Surat, the foundation stone for exte… https://t.co/M7HnRb1S1E"
2019-01-29 14:21:41,11527.0,2295.0,Glimpses from ‘Beating the Retreat’ ceremony. https://t.co/nEHN4c00HQ
2019-01-29 14:07:59,10198.0,2516.0,"Depression and poor mental health are a cause of worry.

However, aspects relating to these can get solved. 

Watch… https://t.co/zqGuW6j6Ei"
2019-01-29 14:06:40,6932.0,1712.0,"Interesting questions by students from AMU and BHU on exams, subject choices and selecting careers. https://t.co/19xqJqyr6f"
2019-01-29 14:06:20,8482.0,2162.0,"Youngsters asked me- should our goals be small or big. 

Here’s what we discussed. https://t.co/7I5kOdaUuS"
2019-01-29 14:05:48,9698.0,2394.0,"A common worry among parents- children spend too much time playing computer games... 

Young friends, enjoy the Pla… https://t.co/pmOiBmo0dL"
2019-01-29 14:02:49,15899.0,3822.0,"The report card of a child cannot become the visiting card of his or her parents. 

Every child is blessed with uni… https://t.co/k85VR4yJvV"
2019-01-29 13:58:18,8304.0,1872.0,"I thank people from all walks of life, particularly student friends, parents and teachers for joining today’s Parik… https://t.co/NFRKMwfT5D"
2019-01-29 05:52:56,12746.0,3562.0,Join the Pariksha Pe Charcha 2.0 Town Hall! Delighted to be among our Yuva Shakti. https://t.co/mvVbfSY9N0
2019-01-29 04:08:22,18651.0,3525.0,"During his long years in public life, George Sahab never deviated from his political ideology. He resisted the Emer… https://t.co/eKE8mDuaxw"
2019-01-29 04:07:42,15741.0,3451.0,"When we think of Mr. George Fernandes, we remember most notably the fiery trade union leader who fought for justice… https://t.co/D9jwiDIevZ"
2019-01-29 04:06:23,13892.0,3388.0,"George Sahab represented the best of India’s political leadership. 

Frank and fearless, forthright and farsighted,… https://t.co/ZM71oCYX8E"
2019-01-29 03:06:01,9138.0,2112.0,"The @BJP4India is fully committed towards the development and prosperity of Assam. 

We will always protect the int… https://t.co/pGBTpXufcu"
